Tag_Name,Num_of_Questions,Avg_View_Count,Avg_Fav_Count
google-app-maker,0,,
appian,0,,
outsystems,4,6486.25,1.75
zoho,12,1453.5833333333333,0.8
mendix,0,,
powerapps,0,,
quickbase,1,1355.0,1.0
vinyl,0,,
salesforce-lightning,0,,
github-copilot,0,,
Knack,0,,
Airtable,0,,
machine-learning,564,9999.27304964539,12.746636771300448
low-code,0,,
build-automation,719,8539.319888734353,7.661137440758294
sdlc,34,6700.0,4.5
automation,1402,7964.723965763195,4.74198250728863
integration,618,4102.446601941748,3.082474226804124
classification,189,5516.116402116402,4.818181818181818
workflow,1108,3202.924187725632,5.667976424361493
resource-management,34,5539.911764705882,10.380952380952381
user-interface,8030,6596.534371108343,5.628751974723539
data-collection,11,1211.7272727272727,1.5
